team1,team1score,team2,team2score,group,date,city,winner,match_number,powerplay_score_teama,powerplay_score_teamb,toss_winner,toss_decision
Rajasthan Royals,189,Mumbai Indians,195,Indian Premier League56,2014-05-25,"Wankhede Stadium, Mumbai",Mumbai Indians,56.0,35,71,Mumbai Indians,field
Kolkata Knight Riders,163,Kings XI Punjab,135,Qualifier 1,2014-05-27,"Eden Gardens, Kolkata",Kolkata Knight Riders,,55,46,Kings XI Punjab,field
Mumbai Indians,173,Chennai Super Kings,176,Eliminator,2014-05-28,"Brabourne Stadium, Mumbai",Chennai Super Kings,,53,60,Chennai Super Kings,field
Kings XI Punjab,226,Chennai Super Kings,202,Qualifier 2,2014-05-30,"Wankhede Stadium, Mumbai",Kings XI Punjab,,70,100,Chennai Super Kings,field
Kings XI Punjab,199,Kolkata Knight Riders,200,Final,2014-06-01,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,,32,59,Kolkata Knight Riders,field
Mumbai Indians,168,Kolkata Knight Riders,170,Indian Premier League1,2015-04-08,"Eden Gardens, Kolkata",Kolkata Knight Riders,1.0,37,38,Kolkata Knight Riders,field
Chennai Super Kings,150,Delhi Daredevils,149,Indian Premier League2,2015-04-09,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,2.0,59,40,Delhi Daredevils,field
Rajasthan Royals,162,Kings XI Punjab,136,Indian Premier League3,2015-04-10,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,3.0,35,51,Kings XI Punjab,field
Chennai Super Kings,209,Sunrisers Hyderabad,164,Indian Premier League4,2015-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,4.0,49,46,Chennai Super Kings,bat
Kolkata Knight Riders,177,Royal Challengers Bangalore,179,Indian Premier League5,2015-04-11,"Eden Gardens, Kolkata",Royal Challengers Bangalore,5.0,53,41,Royal Challengers Bangalore,field
Delhi Daredevils,184,Rajasthan Royals,186,Indian Premier League6,2015-04-12,Feroz Shah Kotla,Rajasthan Royals,6.0,51,42,Rajasthan Royals,field
Kings XI Punjab,177,Mumbai Indians,159,Indian Premier League7,2015-04-12,"Wankhede Stadium, Mumbai",Kings XI Punjab,7.0,57,17,Mumbai Indians,field
Royal Challengers Bangalore,166,Sunrisers Hyderabad,172,Indian Premier League8,2015-04-13,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,8.0,47,65,Sunrisers Hyderabad,field
Mumbai Indians,164,Rajasthan Royals,165,Indian Premier League9,2015-04-14,"Sardar Patel Stadium, Motera",Rajasthan Royals,9.0,31,42,Mumbai Indians,bat
Kings XI Punjab,165,Delhi Daredevils,169,Indian Premier League10,2015-04-15,"Maharashtra Cricket Association Stadium, Pune",Delhi Daredevils,10.0,41,47,Kings XI Punjab,bat
Sunrisers Hyderabad,127,Rajasthan Royals,131,Indian Premier League11,2015-04-16,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rajasthan Royals,11.0,35,36,Rajasthan Royals,field
Mumbai Indians,183,Chennai Super Kings,189,Indian Premier League12,2015-04-17,"Wankhede Stadium, Mumbai",Chennai Super Kings,12.0,31,90,Mumbai Indians,bat
Delhi Daredevils,167,Sunrisers Hyderabad,163,Indian Premier League13,2015-04-18,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Daredevils,13.0,40,50,Delhi Daredevils,bat
Kings XI Punjab,155,Kolkata Knight Riders,159,Indian Premier League14,2015-04-18,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,14.0,48,53,Kolkata Knight Riders,field
Chennai Super Kings,156,Rajasthan Royals,157,Indian Premier League15,2015-04-19,"Sardar Patel Stadium, Motera",Rajasthan Royals,15.0,39,47,Chennai Super Kings,bat
Mumbai Indians,209,Royal Challengers Bangalore,191,Indian Premier League16,2015-04-19,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,16.0,48,33,Royal Challengers Bangalore,field
Delhi Daredevils,146,Kolkata Knight Riders,147,Indian Premier League17,2015-04-20,Feroz Shah Kotla,Kolkata Knight Riders,17.0,34,48,Kolkata Knight Riders,field
Rajasthan Royals,191,Kings XI Punjab,191,Indian Premier League18,2015-04-21,"Sardar Patel Stadium, Motera",Kings XI Punjab,18.0,43,40,Kings XI Punjab,field
Sunrisers Hyderabad,176,Kolkata Knight Riders,101,Indian Premier League19,2015-04-22,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,19.0,43,49,Kolkata Knight Riders,field
Chennai Super Kings,181,Royal Challengers Bangalore,154,Indian Premier League20,2015-04-22,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,20.0,45,38,Royal Challengers Bangalore,field
Delhi Daredevils,190,Mumbai Indians,153,Indian Premier League21,2015-04-23,Feroz Shah Kotla,Delhi Daredevils,21.0,45,48,Mumbai Indians,field
Rajasthan Royals,130,Royal Challengers Bangalore,134,Indian Premier League22,2015-04-24,"Sardar Patel Stadium, Motera",Royal Challengers Bangalore,22.0,48,49,Royal Challengers Bangalore,field
Mumbai Indians,157,Sunrisers Hyderabad,137,Indian Premier League23,2015-04-25,"Wankhede Stadium, Mumbai",Mumbai Indians,23.0,46,52,Mumbai Indians,bat
Chennai Super Kings,192,Kings XI Punjab,95,Indian Premier League24,2015-04-25,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,24.0,54,39,Chennai Super Kings,bat
Delhi Daredevils,95,Royal Challengers Bangalore,99,Indian Premier League26,2015-04-26,Feroz Shah Kotla,Royal Challengers Bangalore,26.0,38,50,Royal Challengers Bangalore,field
Sunrisers Hyderabad,150,Kings XI Punjab,130,Indian Premier League27,2015-04-27,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Sunrisers Hyderabad,27.0,56,36,Kings XI Punjab,field
Chennai Super Kings,134,Kolkata Knight Riders,132,Indian Premier League28,2015-04-28,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,28.0,53,54,Kolkata Knight Riders,field
Royal Challengers Bangalore,200,Rajasthan Royals,0,Indian Premier League29,2015-04-29,"M Chinnaswamy Stadium, Bengaluru",no result,29.0,52,0,Rajasthan Royals,field
Chennai Super Kings,165,Kolkata Knight Riders,169,Indian Premier League30,2015-04-30,"Eden Gardens, Kolkata",Kolkata Knight Riders,30.0,69,38,Kolkata Knight Riders,field
Kings XI Punjab,118,Delhi Daredevils,119,Indian Premier League31,2015-05-01,Feroz Shah Kotla,Delhi Daredevils,31.0,27,41,Delhi Daredevils,field
Mumbai Indians,187,Rajasthan Royals,179,Indian Premier League32,2015-05-01,"Wankhede Stadium, Mumbai",Mumbai Indians,32.0,47,55,Rajasthan Royals,field
Kolkata Knight Riders,111,Royal Challengers Bangalore,115,Indian Premier League33,2015-05-02,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,33.0,61,62,Royal Challengers Bangalore,field
Sunrisers Hyderabad,192,Chennai Super Kings,170,Indian Premier League34,2015-05-02,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,34.0,76,54,Chennai Super Kings,field
Mumbai Indians,172,Kings XI Punjab,149,Indian Premier League35,2015-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,35.0,51,45,Mumbai Indians,bat
Rajasthan Royals,189,Delhi Daredevils,175,Indian Premier League36,2015-05-03,"Brabourne Stadium, Mumbai",Rajasthan Royals,36.0,43,55,Delhi Daredevils,field
Chennai Super Kings,148,Royal Challengers Bangalore,124,Indian Premier League37,2015-05-04,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,37.0,37,42,Chennai Super Kings,bat
Kolkata Knight Riders,167,Sunrisers Hyderabad,132,Indian Premier League38,2015-05-04,"Eden Gardens, Kolkata",Kolkata Knight Riders,38.0,55,33,Sunrisers Hyderabad,field
Delhi Daredevils,152,Mumbai Indians,153,Indian Premier League39,2015-05-05,"Wankhede Stadium, Mumbai",Mumbai Indians,39.0,44,41,Delhi Daredevils,bat
Royal Challengers Bangalore,226,Kings XI Punjab,88,Indian Premier League40,2015-05-06,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,40.0,68,34,Kings XI Punjab,field
Kolkata Knight Riders,171,Delhi Daredevils,158,Indian Premier League42,2015-05-07,"Eden Gardens, Kolkata",Kolkata Knight Riders,42.0,50,36,Kolkata Knight Riders,bat
Sunrisers Hyderabad,201,Rajasthan Royals,194,Indian Premier League41,2015-05-07,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,41.0,56,36,Rajasthan Royals,field
Chennai Super Kings,158,Mumbai Indians,159,Indian Premier League43,2015-05-08,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,43.0,44,61,Chennai Super Kings,bat
Kings XI Punjab,183,Kolkata Knight Riders,184,Indian Premier League44,2015-05-09,"Eden Gardens, Kolkata",Kolkata Knight Riders,44.0,45,57,Kings XI Punjab,bat
Sunrisers Hyderabad,163,Delhi Daredevils,157,Indian Premier League45,2015-05-09,"Shaheed Veer Narayan Singh International Stadium, Raipur",Sunrisers Hyderabad,45.0,41,49,Sunrisers Hyderabad,bat
Royal Challengers Bangalore,235,Mumbai Indians,196,Indian Premier League46,2015-05-10,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,46.0,39,45,Royal Challengers Bangalore,bat
Chennai Super Kings,157,Rajasthan Royals,145,Indian Premier League47,2015-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,47.0,36,40,Chennai Super Kings,bat
Sunrisers Hyderabad,185,Kings XI Punjab,180,Indian Premier League48,2015-05-11,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,48.0,56,47,Sunrisers Hyderabad,bat
Chennai Super Kings,119,Delhi Daredevils,120,Indian Premier League49,2015-05-12,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils,49.0,16,28,Chennai Super Kings,bat
Kings XI Punjab,106,Royal Challengers Bangalore,84,Indian Premier League50,2015-05-13,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,50.0,72,61,Royal Challengers Bangalore,field
Mumbai Indians,171,Kolkata Knight Riders,166,Indian Premier League51,2015-05-14,"Wankhede Stadium, Mumbai",Mumbai Indians,51.0,46,50,Kolkata Knight Riders,field
Sunrisers Hyderabad,135,Royal Challengers Bangalore,83,Indian Premier League52,2015-05-15,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore,52.0,68,83,Sunrisers Hyderabad,bat
Kings XI Punjab,130,Chennai Super Kings,134,Indian Premier League53,2015-05-16,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,53.0,41,47,Kings XI Punjab,bat
Rajasthan Royals,199,Kolkata Knight Riders,190,Indian Premier League54,2015-05-16,"Brabourne Stadium, Mumbai",Rajasthan Royals,54.0,66,53,Rajasthan Royals,bat
Delhi Daredevils,187,Royal Challengers Bangalore,2,Indian Premier League55,2015-05-17,"M Chinnaswamy Stadium, Bengaluru",no result,55.0,54,2,Royal Challengers Bangalore,field
Sunrisers Hyderabad,113,Mumbai Indians,114,Indian Premier League56,2015-05-17,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,56.0,29,38,Sunrisers Hyderabad,bat
Mumbai Indians,187,Chennai Super Kings,162,Qualifier 1,2015-05-19,"Wankhede Stadium, Mumbai",Mumbai Indians,,48,54,Mumbai Indians,bat
Royal Challengers Bangalore,180,Rajasthan Royals,109,Eliminator,2015-05-20,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,,41,40,Royal Challengers Bangalore,bat
Royal Challengers Bangalore,139,Chennai Super Kings,140,Qualifier 2,2015-05-22,JSCA International Stadium Complex,Chennai Super Kings,,29,34,Chennai Super Kings,field
Mumbai Indians,202,Chennai Super Kings,161,Final,2015-05-24,"Eden Gardens, Kolkata",Mumbai Indians,,61,31,Chennai Super Kings,field
Mumbai Indians,121,Rising Pune Supergiants,126,Indian Premier League1,2016-04-09,"Wankhede Stadium, Mumbai",Rising Pune Supergiants,1.0,37,57,Mumbai Indians,bat
Delhi Daredevils,98,Kolkata Knight Riders,99,Indian Premier League2,2016-04-10,"Eden Gardens, Kolkata",Kolkata Knight Riders,2.0,35,47,Kolkata Knight Riders,field
Kings XI Punjab,161,Gujarat Lions,162,Indian Premier League3,2016-04-11,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Gujarat Lions,3.0,52,57,Gujarat Lions,field
Royal Challengers Bangalore,227,Sunrisers Hyderabad,182,Indian Premier League4,2016-04-12,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,4.0,49,56,Sunrisers Hyderabad,field
Kolkata Knight Riders,187,Mumbai Indians,188,Indian Premier League5,2016-04-13,"Eden Gardens, Kolkata",Mumbai Indians,5.0,40,53,Mumbai Indians,field
Rising Pune Supergiants,163,Gujarat Lions,164,Indian Premier League6,2016-04-14,Saurashtra Cricket Association Stadium,Gujarat Lions,6.0,57,62,Rising Pune Supergiants,bat
Kings XI Punjab,111,Delhi Daredevils,113,Indian Premier League7,2016-04-15,Feroz Shah Kotla,Delhi Daredevils,7.0,37,28,Delhi Daredevils,field
Sunrisers Hyderabad,142,Kolkata Knight Riders,146,Indian Premier League8,2016-04-16,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,8.0,36,36,Sunrisers Hyderabad,bat
Mumbai Indians,143,Gujarat Lions,147,Indian Premier League9,2016-04-16,"Wankhede Stadium, Mumbai",Gujarat Lions,9.0,31,42,Gujarat Lions,field
Rising Pune Supergiants,152,Kings XI Punjab,153,Indian Premier League10,2016-04-17,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,10.0,49,50,Rising Pune Supergiants,bat
Royal Challengers Bangalore,191,Delhi Daredevils,192,Indian Premier League11,2016-04-17,"M Chinnaswamy Stadium, Bengaluru",Delhi Daredevils,11.0,63,51,Delhi Daredevils,field
Mumbai Indians,142,Sunrisers Hyderabad,145,Indian Premier League12,2016-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,12.0,40,33,Sunrisers Hyderabad,field
Kings XI Punjab,138,Kolkata Knight Riders,141,Indian Premier League13,2016-04-19,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kolkata Knight Riders,13.0,41,65,Kolkata Knight Riders,field
Royal Challengers Bangalore,170,Mumbai Indians,171,Indian Premier League14,2016-04-20,"Wankhede Stadium, Mumbai",Mumbai Indians,14.0,49,51,Mumbai Indians,field
Gujarat Lions,135,Sunrisers Hyderabad,137,Indian Premier League15,2016-04-21,Saurashtra Cricket Association Stadium,Sunrisers Hyderabad,15.0,50,63,Sunrisers Hyderabad,field
Royal Challengers Bangalore,185,Rising Pune Supergiants,172,Indian Premier League16,2016-04-22,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,16.0,48,36,Rising Pune Supergiants,field
Delhi Daredevils,164,Mumbai Indians,154,Indian Premier League17,2016-04-23,Feroz Shah Kotla,Delhi Daredevils,17.0,41,52,Mumbai Indians,field
Kings XI Punjab,143,Sunrisers Hyderabad,146,Indian Premier League18,2016-04-23,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,18.0,35,65,Sunrisers Hyderabad,field
Royal Challengers Bangalore,180,Gujarat Lions,182,Indian Premier League19,2016-04-24,Saurashtra Cricket Association Stadium,Gujarat Lions,19.0,50,72,Royal Challengers Bangalore,bat
Rising Pune Supergiants,160,Kolkata Knight Riders,162,Indian Premier League20,2016-04-24,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,20.0,31,59,Kolkata Knight Riders,field
Mumbai Indians,189,Kings XI Punjab,164,Indian Premier League21,2016-04-25,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,21.0,39,40,Kings XI Punjab,field
Sunrisers Hyderabad,118,Rising Pune Supergiants,94,Indian Premier League22,2016-04-26,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rising Pune Supergiants,22.0,27,46,Rising Pune Supergiants,field
Gujarat Lions,172,Delhi Daredevils,171,Indian Premier League23,2016-04-27,Feroz Shah Kotla,Gujarat Lions,23.0,71,22,Delhi Daredevils,field
Kolkata Knight Riders,174,Mumbai Indians,178,Indian Premier League24,2016-04-28,"Wankhede Stadium, Mumbai",Mumbai Indians,24.0,59,64,Mumbai Indians,field
Rising Pune Supergiants,195,Gujarat Lions,196,Indian Premier League25,2016-04-29,"Maharashtra Cricket Association Stadium, Pune",Gujarat Lions,25.0,48,72,Gujarat Lions,field
Delhi Daredevils,186,Kolkata Knight Riders,159,Indian Premier League26,2016-04-30,Feroz Shah Kotla,Delhi Daredevils,26.0,37,43,Kolkata Knight Riders,field
Sunrisers Hyderabad,194,Royal Challengers Bangalore,179,Indian Premier League27,2016-04-30,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,27.0,49,45,Royal Challengers Bangalore,field
Kings XI Punjab,154,Gujarat Lions,131,Indian Premier League28,2016-05-01,Saurashtra Cricket Association Stadium,Kings XI Punjab,28.0,59,36,Gujarat Lions,field
Rising Pune Supergiants,159,Mumbai Indians,161,Indian Premier League29,2016-05-01,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,29.0,54,47,Mumbai Indians,field
Royal Challengers Bangalore,185,Kolkata Knight Riders,189,Indian Premier League30,2016-05-02,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,30.0,40,37,Kolkata Knight Riders,field
Gujarat Lions,149,Delhi Daredevils,150,Indian Premier League31,2016-05-03,Saurashtra Cricket Association Stadium,Delhi Daredevils,31.0,35,61,Delhi Daredevils,field
Kolkata Knight Riders,164,Kings XI Punjab,157,Indian Premier League32,2016-05-04,"Eden Gardens, Kolkata",Kolkata Knight Riders,32.0,40,37,Kings XI Punjab,field
Delhi Daredevils,162,Rising Pune Supergiants,166,Indian Premier League33,2016-05-05,Feroz Shah Kotla,Rising Pune Supergiants,33.0,48,50,Rising Pune Supergiants,field
Gujarat Lions,126,Sunrisers Hyderabad,129,Indian Premier League34,2016-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,34.0,26,38,Sunrisers Hyderabad,field
Rising Pune Supergiants,191,Royal Challengers Bangalore,195,Indian Premier League35,2016-05-07,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,35.0,60,46,Royal Challengers Bangalore,field
Kings XI Punjab,181,Delhi Daredevils,172,Indian Premier League36,2016-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,36.0,45,51,Delhi Daredevils,field
Sunrisers Hyderabad,177,Mumbai Indians,92,Indian Premier League37,2016-05-08,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,37.0,51,32,Mumbai Indians,field
Kolkata Knight Riders,158,Gujarat Lions,164,Indian Premier League38,2016-05-08,"Eden Gardens, Kolkata",Gujarat Lions,38.0,28,46,Gujarat Lions,field
Royal Challengers Bangalore,175,Kings XI Punjab,174,Indian Premier League39,2016-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,39.0,56,50,Kings XI Punjab,field
Sunrisers Hyderabad,137,Rising Pune Supergiants,133,Indian Premier League40,2016-05-10,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,40.0,34,25,Sunrisers Hyderabad,bat
Royal Challengers Bangalore,151,Mumbai Indians,153,Indian Premier League41,2016-05-11,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,41.0,25,39,Mumbai Indians,field
Sunrisers Hyderabad,146,Delhi Daredevils,150,Indian Premier League42,2016-05-12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Daredevils,42.0,51,50,Delhi Daredevils,field
Mumbai Indians,124,Kings XI Punjab,127,Indian Premier League43,2016-05-13,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kings XI Punjab,43.0,21,32,Mumbai Indians,bat
Royal Challengers Bangalore,248,Gujarat Lions,104,Indian Premier League44,2016-05-14,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,44.0,42,41,Gujarat Lions,field
Rising Pune Supergiants,103,Kolkata Knight Riders,66,Indian Premier League45,2016-05-14,"Eden Gardens, Kolkata",Kolkata Knight Riders,45.0,37,66,Rising Pune Supergiants,bat
Kings XI Punjab,179,Sunrisers Hyderabad,180,Indian Premier League46,2016-05-15,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Sunrisers Hyderabad,46.0,47,55,Kings XI Punjab,bat
Mumbai Indians,206,Delhi Daredevils,126,Indian Premier League47,2016-05-15,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians,47.0,45,49,Delhi Daredevils,field
Kolkata Knight Riders,183,Royal Challengers Bangalore,186,Indian Premier League48,2016-05-16,"Eden Gardens, Kolkata",Royal Challengers Bangalore,48.0,51,63,Royal Challengers Bangalore,field
